,station_id,tile_ID,geometry,start_frequency,return_frequency,GEOID,AREALAND
318,SF-R24,318,POINT (-122.4120827480106 37.75097855274074),755,820,06075022901,248905
319,SF-P26,319,POINT (-122.4059908712062 37.75682351576532),520,497,06075022802,291253
320,SF-G5,320,POINT (-122.4928629749084 37.78173696231685),177,187,06075042700,409396
321,SJ-I14,321,POINT (-121.8787992756869 37.36003251615083),8,11,06085500100,1922120
322,SF-M11,322,POINT (-122.4673390548761 37.7642470896608),496,526,06075030202,356618
323,SF-O22,323,POINT (-122.4213919217677 37.75920948521645),1123,1187,06075020701,208251
324,SF-M26-2,324,POINT (-122.4041725403118 37.76858144090773),532,588,06075060702,548503
325,SF-J20,325,POINT (-122.4295625498163 37.77713495518825),377,349,06075016300,245866
326,SF-T20,326,POINT (-122.4268284384812 37.74373540045507),306,280,06075021500,474360
327,SF-H28,327,POINT (-122.3988010632265 37.78390542050769),706,791,06075061503,234864
328,BK-G7,328,POINT (-122.2675582960955 37.85756719739697),226,235,06001423500,635744
329,OK-C3,329,POINT (-122.2618225115607 37.84018580462427),96,77,06001400300,1110840
330,OK-L5,330,POINT (-122.2717380508758 37.80456234481569),178,208,06001402802,118560
331,OK-B4,331,POINT (-122.2519004303658 37.84427875632806),232,189,06001400300,1110840
332,OK-B2,332,POINT (-122.2653042949152 37.84651560677967),56,62,06001400500,591424
333,SJ-O10,333,POINT (-121.8846059723757 37.32755482044199),87,94,06085501700,1115706
334,OK-K6,334,POINT (-122.2665882071869 37.80696976534207),54,55,06001402900,407131
335,SJ-M10-2,335,POINT (-121.8856448819163 37.33589113112911),349,392,06085500901,720807
336,SF-A27,336,POINT (-122.4032856585967 37.80475672528963),621,645,06075010500,683605
337,SJ-L10,337,POINT (-121.8899288412073 37.33928579133858),64,63,06085501000,802667
338,SF-P24,338,POINT (-122.4125679678012 37.75887916369592),693,732,06075022801,578057
339,SF-J21,339,POINT (-122.4262014365172 37.77628266661814),827,890,06075016200,273260
340,SF-L20,340,POINT (-122.4291220408948 37.76982050807169),665,609,06075016801,226534
341,SF-A20,341,POINT (-122.4335722525321 37.80440065263934),591,653,06075012602,617525
342,SF-H17,342,POINT (-122.4420413787037 37.78245903045267),86,76,06075015801,343934
343,SF-K21,343,POINT (-122.4271968230804 37.77345258591131),700,519,06075016802,215267
344,SF-G27,344,POINT (-122.4052450116741 37.78617136601888),1712,1890,06075061501,416352
345,OK-M7,345,POINT (-122.2653199029251 37.79731951462523),298,249,06001403301,196598
346,SF-G24,346,POINT (-122.4166804966493 37.7870764217354),842,656,06075012203,45984
347,SF-O30,347,POINT (-122.3907736745467 37.76165451533696),1115,1091,06075022600,1334366
348,OK-D5,348,POINT (-122.2516207313433 37.83578826865671),79,55,06001404200,2728225
349,SF-H20,349,POINT (-122.4311029464309 37.78338016836204),333,321,06075015900,295577
350,SF-K23,350,POINT (-122.4198861858934 37.77221696995821),160,159,06075020101,305225
351,SF-E29-1,351,POINT (-122.3942475821943 37.79534032186948),1062,1206,06075010500,683605
352,SF-W19-2,352,POINT (-122.4300416598173 37.73512319292237),78,68,06075021800,504786
353,SF-R20,353,POINT (-122.4275437578859 37.75093059060403),157,141,06075021400,354535
354,SF-T21,354,POINT (-122.4230226996146 37.74234609527938),187,159,06075025300,403918
355,SF-J29-3,355,POINT (-122.3944748013889 37.77633848055555),627,633,06075060703,346694
356,SF-A25,356,POINT (-122.4115104159062 37.80691674001713),678,878,06075010101,696934
357,SF-S21,357,POINT (-122.4250347964187 37.74783230739209),214,149,06075021400,354535
358,SF-F30-1,358,POINT (-122.3910769006126 37.79139827610694),580,617,06075061507,336738
359,SF-F30-2,359,POINT (-122.3905008166802 37.78957915840188),419,432,06075061505,21283
360,SJ-P7,360,POINT (-121.8930003395858 37.31978151077977),22,12,06085501800,1428662
361,EM-A2,361,POINT (-122.2880450989208 37.84192380215828),130,148,06001425103,876078
362,SF-G12,362,POINT (-122.4654382078189 37.78235317564832),266,288,06075040200,531470
363,OK-K9,363,POINT (-122.2538101635387 37.80021357673739),233,299,06001405302,205566
364,SF-G17,364,POINT (-122.4427543107068 37.78398270944093),169,147,06075015500,312148
365,SJ-P10-2,365,POINT (-121.8807531994047 37.32442035119048),39,17,06085501601,781837
366,SJ-H11,366,POINT (-121.8958455137178 37.3566738850626),72,55,06085500100,1922120
367,SF-J13,367,POINT (-122.4581157076175 37.77531144446245),326,291,06075015600,293931
368,SF-G29-2,368,POINT (-122.3945512899719 37.78720091677414),1006,1010,06075061503,234864
369,SF-H0,369,POINT (-122.5111503775093 37.77526516400248),228,310,06075047904,774489
370,SJ-I5,370,POINT (-121.9194397213925 37.33803130251609),40,38,06085500400,1005370
371,BK-D7-1,371,POINT (-122.268422 37.870139),320,282,06001422902,385452
372,SJ-F10,372,POINT (-121.9068661789565 37.36088402980246),31,26,06085505100,6966454
373,SF-J14,373,POINT (-122.4545353656023 37.77760465037642),72,66,06075015701,479211
374,SF-J1,374,POINT (-122.5089079028177 37.77292421197053),391,514,06075047904,774489
375,SF-G11,375,POINT (-122.467620716738 37.78176922711998),134,118,06075040200,531470
376,SF-M10,376,POINT (-122.4707411626794 37.76403275798418),221,217,06075030201,360958
377,SF-Y29,377,POINT (-122.3929762151037 37.72927402656677),12,15,06075023300,633256
378,OK-L6,378,POINT (-122.2705793200698 37.80318907681101),89,80,06001403000,352394
379,OK-L13,379,POINT (-122.2474587009485 37.8004594054994),137,128,06001405500,411721
380,SF-V28,380,POINT (-122.3945000660256 37.73703623942308),28,24,06075980900,3602295
381,SJ-K9,381,POINT (-121.8956214943566 37.34272202483069),241,202,06085500200,1680335
382,BK-I5,382,POINT (-122.2781753971429 37.85057770214286),61,79,06001424001,507530
383,BK-C5,383,POINT (-122.283093 37.87355800000001),157,154,06001422200,675011
384,BK-F2,384,POINT (-122.2912095127388 37.85886819490447),68,89,06001422000,4504647
385,SJ-M11-3,385,POINT (-121.8808183638498 37.33842797183099),66,76,06085500901,720807
386,OK-C2,386,POINT (-122.267738 37.84262950375939),66,67,06001400600,297856
387,BK-C1,387,POINT (-122.2996759439939 37.87040711048125),63,76,06001422000,4504647
388,SJ-N5-2,388,POINT (-121.9082230694596 37.32098706079151),59,56,06085501902,1064609
389,BK-E3,389,POINT (-122.2902305300752 37.86282709398497),61,72,06001423200,456778
390,EM-C3,390,POINT (-122.2810506820679 37.83563220458518),30,61,06001425104,1087241
391,BK-H6,391,POINT (-122.2702131983098 37.85247660338028),184,171,06001423901,394491
392,SJ-M6,392,POINT (-121.9046652749408 37.32911276092809),126,111,06085500300,2883345
393,OK-K17,393,POINT (-122.2177284 37.77993),4,3,06001407200,715071
394,SJ-N12-1,394,POINT (-121.8766594614286 37.33644957761905),35,35,06085501300,747097
395,SJ-R11,395,POINT (-121.8700824349119 37.32030444269012),39,39,06085503112,1136977
396,OK-J3,396,POINT (-122.2782444 37.8160598),74,85,06001401600,636136
397,SJ-N5,397,POINT (-121.9059835413727 37.32343711907651),34,40,06085501901,597772
398,SF-V30,398,POINT (-122.385623951543 37.73987549167488),24,32,06075061200,434957
399,SF-V29,399,POINT (-122.3895693928974 37.73897407055545),40,43,06075980900,3602295
400,OK-M2,400,POINT (-122.2893702 37.8072393),22,14,06001410500,716845
401,SJ-H17,401,POINT (-121.8679381447766 37.36556730340237),27,22,06085503709,884967
402,SF-J3,402,POINT (-122.4984046557715 37.77546632414605),136,147,06075047903,392133
403,SJ-G15,403,POINT (-121.8813286148295 37.37112065108841),22,25,06085504311,2176514
404,SF-Y27,404,POINT (-122.3987942333333 37.73010186666666),4,6,06075023300,633256
405,SF-O21,405,POINT (-122.4264913503374 37.76142407801912),1160,1211,06075020601,321062
406,BK-E8,406,POINT (-122.2658963980392 37.8677891990196),208,200,06001422800,408571
407,BK-D2,407,POINT (-122.2933995812813 37.86906046554864),82,158,06001422100,551942
408,EM-C1,408,POINT (-122.2913760988235 37.84678419764706),77,93,06001425103,876078
409,SF-D28,409,POINT (-122.3984496229464 37.79728062968881),580,609,06075010500,683605
410,SF-M26,410,POINT (-122.4073578925805 37.76711204453883),177,187,06075017700,904078
411,SF-D24,411,POINT (-122.4168284356908 37.79636813632256),366,253,06075011002,121170
412,SF-H14,412,POINT (-122.4562795597701 37.78091859275862),74,71,06075015600,293931
413,SJ-P6,413,POINT (-121.8978107648445 37.31512925998734),14,10,06085501800,1428662
414,OK-K5-2,414,POINT (-122.2679507745943 37.80936861445277),245,257,06001402900,407131
415,OK-L16,415,POINT (-122.2226033 37.7837569),7,7,06001406500,745016
416,SJ-N7,416,POINT (-121.8997008691318 37.32415375431128),9,5,06085500800,1723696
417,SF-K26,417,POINT (-122.4058188932374 37.77147168007612),745,861,06075018000,933506
418,SJ-N10-3,418,POINT (-121.8817311986367 37.33202844339662),72,69,06085500902,242522
419,SJ-L7-1,419,POINT (-121.9000698599291 37.33271493794327),42,52,06085500300,2883345
420,SF-G19,420,POINT (-122.4345297713559 37.78369335354043),566,550,06075015801,343934
421,SF-J22-2,421,POINT (-122.4228850405232 37.7778830344741),814,869,06075016200,273260
422,OK-J5,422,POINT (-122.2687726056497 37.81267829576272),169,185,06001401300,861889
423,SF-K30-2,423,POINT (-122.3900325956704 37.77201041908753),559,515,06075060701,1292507
424,OK-G4,424,POINT (-122.2651002 37.82628629999999),64,59,06001401100,873332
425,SJ-M10-3,425,POINT (-121.8869649946236 37.33380864650537),64,60,06085500901,720807
426,SF-N21,426,POINT (-122.4265563238212 37.76306050986644),630,593,06075020300,286010
427,SF-L19,427,POINT (-122.4340589464933 37.76922967743721),411,372,06075016700,490697
428,SF-S22-1,428,POINT (-122.4202148880111 37.74771456273388),462,500,06075025300,403918
429,SF-H16,429,POINT (-122.4473213106106 37.78113744118554),253,208,06075015702,357460
430,SF-G29-1,430,POINT (-122.3983577434003 37.78748134527392),669,654,06075061501,416352
431,SJ-M8-1,431,POINT (-121.8932041404762 37.33142589761906),30,40,06085500800,1723696
432,OK-I9,432,POINT (-122.2492511930769 37.80871500000001),374,406,06001403702,199100
433,SF-L28,433,POINT (-122.3983666663435 37.77183382932208),683,682,06075060702,548503
434,SF-E22,434,POINT (-122.4233805814697 37.79300308583495),325,171,06075013101,173031
435,SF-H15,435,POINT (-122.45015905918 37.78072850080214),97,90,06075015701,479211
436,SF-F16,436,POINT (-122.4499707789216 37.78661995925926),153,153,06075015402,327153
437,BK-E10,437,POINT (-122.2537994307388 37.86641794155314),110,60,06001422700,346821
438,OK-E4,438,POINT (-122.2634900986425 37.83327860542985),107,114,06001401100,873332
439,OK-L12,439,POINT (-122.2423732123439 37.79013986207063),15,14,06001405902,487280
440,SJ-I9,440,POINT (-121.8997726547351 37.34755701879914),8,5,06085500200,1680335
441,SF-K18,441,POINT (-122.4390747099726 37.77312728911743),762,575,06075016400,309099
442,SF-B28,442,POINT (-122.4020912928597 37.80463619172853),474,469,06075010500,683605
443,SF-M28,443,POINT (-122.398229651817 37.76661654730576),648,682,06075060702,548503
444,SF-J10,444,POINT (-122.4713621316239 37.7735278958452),358,344,06075045201,353928
445,SF-O19,445,POINT (-122.4324840726685 37.76109410161108),739,730,06075020601,321062
446,SJ-I11,446,POINT (-121.8920338682528 37.35283585943253),82,83,06085501101,656885
447,SF-X30,447,POINT (-122.3900413101639 37.73178010514955),13,12,06075023200,856567
448,SF-L31-1,448,POINT (-122.3867172663946 37.77175845101559),449,470,06075060701,1292507
449,EM-B0-2,449,POINT (-122.2987177439923 37.83954307620738),34,30,06001425101,598450
450,SJ-P9,450,POINT (-121.8810904026031 37.32212462544859),9,12,06085501700,1115706
451,SJ-K11,451,POINT (-121.8888887390071 37.34299246643027),73,68,06085501000,802667
452,OK-M4,452,POINT (-122.282497 37.80368649999998),23,23,06001402600,318840
453,SF-V32,453,POINT (-122.3766881248233 37.74029757879321),51,49,06075023103,1463927
454,SF-I26-,454,POINT (-122.4067102901823 37.78024076046874),319,321,06075017602,273225
455,SF-K28-3,455,POINT (-122.4000238054364 37.7732321416309),126,107,06075018000,933506
456,OK-D2,456,POINT (-122.2717561 37.83964879999998),84,86,06001400700,865752
457,OK-E5,457,POINT (-122.2562241531735 37.83329352915628),73,65,06001401200,663620
458,SF-A19,458,POINT (-122.4373019439293 37.80534821248956),551,646,06075012602,617525
459,SF-J26-2,459,POINT (-122.4080040710365 37.77658129429388),713,709,06075017804,320289
460,SF-L22,460,POINT (-122.4222485601371 37.76900193730204),883,906,06075020101,305225
461,SF-M22-1,461,POINT (-122.4203662890845 37.76824676007434),440,412,06075020101,305225
462,SF-J15,462,POINT (-122.4531565216654 37.77616657708602),209,163,06075015701,479211
463,San Jose Depot,463,POINT (-121.9149155 37.34341836666668),0,5,06085500300,2883345
